"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","令和２年(2020)","経度","緯度","分類"
"297","302015","和歌山(県)-22","地価調査","住宅","和歌山市","中字枇杷谷５８３番４１","","135.14721","34.27046","","","","","","","","","","","","","","","","","","","","61100","63400","68800","74000","75800","76200","76400","76600","76,700","135.147210000002","34.2704599999979","令和２年地価調査基準地"
"23","302015","和歌山(県)-23","地価調査","住宅","和歌山市","秋月字川田９３番３２","","135.20418","34.23414","156000","156000","153000","151000","150000","149000","143000","138000","134000","127000","120000","113000","103000","99500","96500","95000","92500","88500","84000","80000","78000","76500","72500","71100","70400","70400","70400","70,000","135.204180000002","34.2341399999974","令和２年地価調査基準地"
"67","302015","和歌山(県)-24","地価調査","住宅","和歌山市","田屋字辻堂４７３番","","135.22732","34.25809","49500","49500","49500","49500","49000","48500","48500","48000","47500","46800","42200","39000","34400","33500","32700","31900","31000","30200","29300","28700","28100","27800","27500","26700","26300","26000","25700","25,400","135.227320000003","34.258089999996","令和２年地価調査基準地"
"25","302015","和歌山(県)-25*","地価調査","住宅","和歌山市","西長町２丁目３８番","","135.16167","34.2256","300000","287000","278000","258000","238000","217000","193000","183000","175000","166000","158000","145000","136000","132000","134000","135000","131000","126000","124000","120000","117000","117000","117000","119000","121000","121000","122000","123,000","135.161670000006","34.2256000000003","令和２年地価調査基準地"
"26","302015","和歌山(県)-26","地価調査","住宅","和歌山市","中之島字東垣内１８９７番外","","135.18139","34.23853","","","","217000","210000","195000","176000","166000","157000","148000","140000","133000","124000","120000","120000","119000","118000","116000","113000","109000","106000","104000","102000","102000","102000","102000","102000","102,000","135.181390000004","34.2385299999974","令和２年地価調査基準地"
"38","302015","和歌山(県)-27","地価調査","住宅","和歌山市","毛見字塩田１３５番３５","","135.19029","34.16394","164000","160000","158000","157000","154000","150000","147000","140000","132000","124000","118000","110000","104000","98300","94500","89500","85500","82600","80800","78100","75500","73300","70500","68000","66300","65000","63500","62,000","135.190290000003","34.1639399999955","令和２年地価調査基準地"
"302","302015","和歌山(県)-28","地価調査","住宅","和歌山市","吹上４丁目６番１０","吹上４－２－３６","135.1715","34.21595","","","","","","","","","","","","","","","","","","","","","172000","177000","186000","190000","193000","194000","194000","194,000","135.171500000004","34.2159499999988","令和２年地価調査基準地"
"29","302015","和歌山(県)-29","地価調査","住宅","和歌山市","小松原６丁目５番６７","小松原６－６－７","135.16673","34.21643","223000","215000","207000","205000","200000","181000","168000","159000","151000","138000","127000","118000","112000","109000","107000","106000","103000","99300","96800","94500","92700","92000","91200","91000","91000","91000","91000","91,000","135.166730000005","34.2164299999989","令和２年地価調査基準地"
"39","302015","和歌山(県)-30*","地価調査","住宅","和歌山市","向字高屋敷４５番１２","","135.14823","34.257","","","","","","","","","","","","","","","","62500","60500","58000","54500","52100","51000","50100","49600","49400","49000","48500","48100","47,700","135.148230000001","34.2569999999982","令和２年地価調査基準地"
"66","302015","和歌山(県)-31","地価調査","住宅","和歌山市","中筋日延字小柴２６１番","","135.27197","34.27216","42000","42000","42000","42000","42000","41500","41000","40500","40100","39500","38800","38100","32400","29300","28000","27000","25500","24500","23000","22000","21600","21300","21100","20900","20600","20400","20200","20,000","135.271970000004","34.2721599999995","令和２年地価調査基準地"
"333","302015","和歌山(県)3-1","地価調査","宅見","和歌山市","園部字藤原１１０３番","","135.1938330","34.2587770","","","","","","","","","","","","","","","","","","","","","","","","","","","","14,000","135.193833000003","34.2587769999973","令和２年地価調査基準地"
"41","302015","和歌山(県)3-2","地価調査","宅見","和歌山市","井辺字儀法堂３２番","","135.2105","34.222","","","","","","","","","","","","","","","22000","21900","21800","21300","20400","19700","19000","18900","18600","18600","18600","18800","19000","19,000","135.210500000002","34.2219999999979","令和２年地価調査基準地"
"42","302015","和歌山(県)5-1*","地価調査","商業","和歌山市","友田町５丁目５０番外","","135.18963","34.23244","","","","","","","903000","805000","696000","668000","605000","548000","514000","507000","515000","530000","520000","500000","477000","455000","438000","438000","438000","438000","438000","438000","441000","442,000","135.189630000003","34.2324399999969","令和２年地価調査基準地"
"43","302015","和歌山(県)5-2","地価調査","商業","和歌山市","元寺町４丁目５番","","135.1767","34.23864","825000","690000","590000","504000","425000","368000","335000","302000","270000","240000","212000","206000","190000","180000","175000","172000","167000","163000","161000","157000","152000","150000","150000","150000","151000","152000","153000","153,000","135.176700000003","34.2386399999974","令和２年地価調査基準地"
"63","302015","和歌山(県)5-3","地価調査","商業","和歌山市","三葛字北向浜３４４番４外","","135.18559","34.19336","400000","360000","295000","250000","240000","215000","195000","181000","174000","161000","148000","138000","128000","123000","123000","123000","122000","119000","115000","114000","113000","112000","112000","113000","114000","115000","115000","115,000","135.185590000002","34.1933599999982","令和２年地価調査基準地"
